Year,Tickets Sold,Total Box Office,Total Inflation (Adjusted Box Office),Average Ticket Price (USD),CPI,Inflation_rate %
1948,,,,0.36,24.045,7.67
1949,,,,,23.80916667,-0.98
1950,,,,,24.0625,1.06
1951,,,,,25.97333333,7.94
1952,,,,,26.56666667,2.28
1953,,,,,26.76833333,0.76
1954,,,,0.49,26.865,0.36
1955,,,,,26.79583333,-0.26
1956,,,,,27.19083333,1.47
1957,,,,,28.11333333,3.39
1958,,,,0.68,28.88083333,2.73
1959,,,,,29.15,0.93
1960,,,,,29.585,1.49
1961,,,,,29.90166667,1.07
1962,,,,,30.25333333,1.18
1963,,,,0.86,30.63333333,1.26
1964,,,,,31.03833333,1.32
1965,,,,,31.52833333,1.58
1966,,,,,32.47083333,2.99
1967,,,,1.22,33.375,2.78
1968,,,,,34.79166667,4.24
1969,,,,,36.68333333,5.44
1970,,,,,38.84166667,5.88
1971,,,,1.65,40.48333333,4.23
1972,,,,,41.80833333,3.27
1973,,,,,44.425,6.26
1974,,,,1.89,49.31666667,11.01
1975,,,,2.03,53.825,9.14
1976,,,,2.13,56.93333333,5.77
1977,,,,2.23,60.61666667,6.47
1978,,,,2.34,65.24166667,7.63
1979,,,,2.47,72.58333333,11.25
1980,,,,2.69,82.38333333,13.5
1981,,,,2.78,90.93333333,10.38
1982,,,,2.94,96.53333333,6.16
1983,,,,3.15,99.58333333,3.16
1984,,,,3.36,103.9333333,4.37
1985,,,,3.55,107.6,3.53
1986,,,,3.71,109.6916667,1.94
1987,,,,3.91,113.6166667,3.58
1988,,,,4.11,118.275,4.1
1989,,,,3.99,123.9416667,4.79
1990,,,,4.22,130.6583333,5.42
1991,,,,4.21,136.1666667,4.22
1992,,,,4.15,140.3083333,3.04
1993,,,,4.14,144.475,2.97
1994,,,,4.08,148.225,2.6
1995,1221788544,5314780870,13818428426,4.35,152.3833333,2.81
1996,1305793554,5771608313,14768506285,4.42,156.8583333,2.94
1997,1349765352,6195423856,15265846145,4.59,160.525,2.34
1998,1454585697,6822007916,16451364229,4.69,163.0083333,1.55
1999,1444661989,7338884198,16339127088,5.08,166.5833333,2.19
2000,1395250502,7520401854,15780283178,5.39,172.1916667,3.37
2001,1466351713,8299552336,16584437879,5.66,177.0416667,2.82
2002,1575921670,9156106691,17823674086,5.81,179.8666667,1.6
2003,1525189405,9196893999,17249892183,6.03,184,2.3
2004,1496253578,9291736694,16922627987,6.21,188.9083333,2.67
2005,1373062008,8801329592,15529331310,6.41,195.2666667,3.37
2006,1401392669,9179124447,15849751091,6.55,201.5583333,3.22
2007,1420164148,9770731899,16062056511,6.88,207.3441667,2.87
2008,1358069603,9750941820,15359767200,7.18,215.25425,3.81
2009,1418567388,10639257284,16043988821,7.5,214.5646667,-0.32
2010,1328787540,10484135922,15028586742,7.89,218.0761667,1.64
2011,1282915590,10173523046,14509775320,7.93,224.923,3.14
2012,1382840535,11007413639,15639926442,7.96,229.5860833,2.07
2013,1339166251,10887424599,15145970298,8.13,232.95175,1.47
2014,1257327489,10272368746,14220373900,8.17,236.715,1.62
2015,1336743967,11268754656,15118574269,8.43,237.00175,0.12
2016,1302610878,11267792299,14732529022,8.65,240.0054167,1.27
2017,1225762392,10995091460,13863372665,8.97,245.121,2.13
2018,1311558716,11948302425,14833727968,9.11,251.0995,2.44
2019,1225563974,11226168620,13861128548,9.16,255.6525833,1.81
2020,219986842,2019481070,2488051184,9.18,258.85575,1.25
2021,444250543,4518029580,5024473637,10.17,270.9679167,4.68
2022,702373460,7395994572,7943843838,10.53,292.6254167,7.99
2023,819306691,8963217610,9266358669,10.94,304.7041667,4.13
2024,760503794,8601297900,8601297900,11.31,313.6978333,2.95
2025,745725615,8434156708,8434156708,11.31,319.8754,1.97
